 basic :--,Audi
6,"https://www.automobile.fr//Voiture/Alfa-Romeo-Stelvio-2.0l-16V-Turbo-Super/vhc:car,ms1:900__,dmg:false/pg:vipcar/309686822.html"
7,"https://www.automobile.fr//Voiture/Alfa-Romeo-MiTo-1.3-JTDM-16V/vhc:car,ms1:900__,dmg:false/pg:vipcar/309506291.html"
8,"https://www.automobile.fr//Voiture/Alfa-Romeo-Alfa-Romeo-159-1.8L/vhc:car,ms1:900__,dmg:false/pg:vipcar/309685853.html"
9,"https://www.automobile.fr//Voiture/Alfa-Romeo-Alfa-156-KOMBI/vhc:car,ms1:900__,dmg:false/pg:vipcar/309685732.html"
,ALPINA
0,"https://www.automobile.fr//Voiture/ALPINA-B7-Bi-Turbo-Switch-Tronic-NUMMER-26/vhc:car,ms1:1100__,dmg:false/pg:vipcar/167268502.html"
1,"https://www.automobile.fr//Voiture/ALPINA-D5-3.0-Bi-Turbo-SWITCHTRONIC-NAVI/vhc:car,ms1:1100__,dmg:false/pg:vipcar/309685533.html"
2,"https://www.automobile.fr//Voiture/ALPINA-B4-S-Coupe-Allrad-Edition-99-Diff/vhc:car,ms1:1100__,dmg:false/pg:vipcar/309684256.html"
3,"https://www.automobile.fr//Voiture/ALPINA-D4-3.0-Biturbo-Automatik-HEAD-UP-BI/vhc:car,ms1:1100__,dmg:false/pg:vipcar/309679335.html"
4,"https://www.automobile.fr//Voiture/ALPINA-XD4-3.0-HUD-LED-H-K-Gestik-LiveCockp/vhc:car,ms1:1100__,dmg:false/pg:vipcar/304429447.html"
5,"https://www.automobile.fr//Voiture/ALPINA-B7-4.4-Bi-Turbo-Langversion-Laser/vhc:car,ms1:1100__,dmg:false/pg:vipcar/302914366.html"
6,"https://www.automobile.fr//Voiture/ALPINA-D3-Bi-Turbo-Coupe-Schaltgetriebe-Leder/vhc:car,ms1:1100__,dmg:false/pg:vipcar/305068027.html"
7,"https://www.automobile.fr//Voiture/ALPINA-D5-3.0-Bi-Turbo-Swich-tronic-Leder/vhc:car,ms1:1100__,dmg:false/pg:vipcar/309659728.html"
8,"https://www.automobile.fr//Voiture/ALPINA-D10-Biturbo-touring-Switch-Tronic/vhc:car,ms1:1100__,dmg:false/pg:vipcar/309651448.html"
9,"https://www.automobile.fr//Voiture/ALPINA-B7-BITurbo-TOP-Gepflegt,/vhc:car,ms1:1100__,dmg:false/pg:vipcar/294203387.html"
,Artega
0,"https://www.automobile.fr//Voiture/Artega-GT-Mod.-2012-NEUWERTIG-mit-TZ/vhc:car,ms1:121__,dmg:false/pg:vipcar/304609873.html"
1,"https://www.automobile.fr//Voiture/Artega-GT-Top-Zustand-DSG-Xenon-Leder/vhc:car,ms1:121__,dmg:false/pg:vipcar/308945776.html"
2,"https://www.automobile.fr//Voiture/Artega-GT-DSG-8.000KM-Uniek-300PK-R36-Nieuws/vhc:car,ms1:121__,dmg:false/pg:vipcar/303170958.html"
3,"https://www.automobile.fr//Voiture/Artega-GT-DSG/vhc:car,ms1:121__,dmg:false/pg:vipcar/302371882.html"
4,"https://www.automobile.fr//Voiture/Artega-GT-Rosso-Nera-dt.-Erstauslieferung/vhc:car,ms1:121__,dmg:false/pg:vipcar/285696918.html"
5,"https://www.automobile.fr//Voiture/Artega-GT-DSG-Leder-Xenon-F1-Schakeling/vhc:car,ms1:121__,dmg:false/pg:vipcar/233627242.html"
,Asia Motors
0,"https://www.automobile.fr//Voiture/Asia-Motors-Rocsta-Softtop/vhc:car,ms1:1750__,dmg:false/pg:vipcar/308584229.html"
1,"https://www.automobile.fr//Voiture/Asia-Motors-Towner-wie-Hijet-oder-Porter/vhc:car,ms1:1750__,dmg:false/pg:vipcar/308198963.html"
2,"https://www.automobile.fr//Voiture/Asia-Motors-Asia-Motors-Rocsta-2.2-Diesel/vhc:car,ms1:1750__,dmg:false/pg:vipcar/304163651.html"
,Aston Martin
0,"https://www.automobile.fr//Voiture/Aston-Martin-DBS-Superleggera-UPE-318140,/vhc:car,ms1:1700__,dmg:false/pg:vipcar/309687681.html"
1,"https://www.automobile.fr//Voiture/Aston-Martin-DB11-V8-Volante/vhc:car,ms1:1700__,dmg:false/pg:vipcar/309687632.html"
2,"https://www.automobile.fr//Voiture/Aston-Martin-DBS-Superleggera-Volante-UPE/vhc:car,ms1:1700__,dmg:false/pg:vipcar/309687483.html"
3,"https://www.automobile.fr//Voiture/Aston-Martin-DB11-V8-Coupe/vhc:car,ms1:1700__,dmg:false/pg:vipcar/309673919.html"
4,"https://www.automobile.fr//Voiture/Aston-Martin-V12-Vantage,-Handschalter-erst/vhc:car,ms1:1700__,dmg:false/pg:vipcar/270660406.html"
5,"https://www.automobile.fr//Voiture/Aston-Martin-DB9/vhc:car,ms1:1700__,dmg:false/pg:vipcar/252019834.html"
6,"https://www.automobile.fr//Voiture/Aston-Martin-DB9-Volante-Touchtronic/vhc:car,ms1:1700__,dmg:false/pg:vipcar/309662310.html"
7,"https://www.automobile.fr//Voiture/Aston-Martin-Virage-Volante-V8-U-frei/vhc:car,ms1:1700__,dmg:false/pg:vipcar/268995123.html"
8,"https://www.automobile.fr//Voiture/Aston-Martin-V8-Vantage-Roadster-4.7l/vhc:car,ms1:1700__,dmg:false/pg:vipcar/292909712.html"
9,"https://www.automobile.fr//Voiture/Aston-Martin-V8-Vantage-Roadster-4.7l/vhc:car,ms1:1700__,dmg:false/pg:vipcar/296336358.html"
,Audi
0,"https://www.automobile.fr//Voiture/Audi-A1-SB-30-TFSI-S-line-LED-MMI-SONDERZINS/vhc:car,ms1:1900__,dmg:false/pg:vipcar/308709788.html"
1,"https://www.automobile.fr//Voiture/Audi-A3-Sportback-Attraction-1.4-TFSI-92-125/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687741.html"
2,"https://www.automobile.fr//Voiture/Audi-Audi-Q5-quattro-S-Tronic-Clean-Diesel/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687720.html"
3,"https://www.automobile.fr//Voiture/Audi-Q7-3.0-TDI-Quattro-Automatik-7-Sitzer/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687719.html"
4,"https://www.automobile.fr//Voiture/Audi-AUDI-Q5-QUATTRO/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687689.html"
5,"https://www.automobile.fr//Voiture/Audi-Audi-A4-B5-1.6l-Limousine/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687665.html"
6,"https://www.automobile.fr//Voiture/Audi-A2-1.4-StyleKlimaautomatik-PDC-1.Hand/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687654.html"
7,"https://www.automobile.fr//Voiture/Audi-A6-2.4-Avant-S-Line-Tempomat-Klimaaut./vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687650.html"
8,"https://www.automobile.fr//Voiture/Audi-A1-sport-1.4TDI-Xenon-Sitzheizung-PDC/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687593.html"
9,"https://www.automobile.fr//Voiture/Audi-Audi-A3-Sportback-2007-TSI-1,6-Alle/vhc:car,ms1:1900__,dmg:false/pg:vipcar/309687586.html"
,Austin
0,"https://www.automobile.fr//Voiture/Austin-A110-Westminster/vhc:car,ms1:2000__,dmg:false/pg:vipcar/309588460.html"
1,"https://www.automobile.fr//Voiture/Austin-Austin-1300-old-timer-1971/vhc:car,ms1:2000__,dmg:false/pg:vipcar/309560612.html"
2,"https://www.automobile.fr//Voiture/Austin-Original-LTI-Carbodies-FX4,-BJ-1997,/vhc:car,ms1:2000__,dmg:false/pg:vipcar/309444696.html"
3,"https://www.automobile.fr//Voiture/Austin-FX4S-London-Taxi-T%C3%BCv-01-2022/vhc:car,ms1:2000__,dmg:false/pg:vipcar/305873032.html"
4,"https://www.automobile.fr//Voiture/Austin-Morris-Minor-1000/vhc:car,ms1:2000__,dmg:false/pg:vipcar/309275299.html"
5,"https://www.automobile.fr//Voiture/Austin-London-TAXI-Carbody/vhc:car,ms1:2000__,dmg:false/pg:vipcar/309265728.html"
6,"https://www.automobile.fr//Voiture/Austin-A-40-Somerset/vhc:car,ms1:2000__,dmg:false/pg:vipcar/298936277.html"
7,"https://www.automobile.fr//Voiture/Austin-7-VAN-RESTAURIERT-H-ZULASSUNG/vhc:car,ms1:2000__,dmg:false/pg:vipcar/259721909.html"
8,"https://www.automobile.fr//Voiture/Austin-MK-11-A/vhc:car,ms1:2000__,dmg:false/pg:vipcar/309198535.html"
9,"https://www.automobile.fr//Voiture/Austin-Healey-100-6-BN6-Roadster/vhc:car,ms1:2000__,dmg:false/pg:vipcar/302382981.html"
,Austin Healey
0,"https://www.automobile.fr//Voiture/Austin-Healey-3000-Mk-2/vhc:car,ms1:1950__,dmg:false/pg:vipcar/309605144.html"
1,"https://www.automobile.fr//Voiture/Austin-Healey-100-Le-Mans/vhc:car,ms1:1950__,dmg:false/pg:vipcar/309588518.html"
2,"https://www.automobile.fr//Voiture/Austin-Healey-Sprite-Mk1/vhc:car,ms1:1950__,dmg:false/pg:vipcar/309588495.html"
3,"https://www.automobile.fr//Voiture/Austin-Healey-3000-Mk3/vhc:car,ms1:1950__,dmg:false/pg:vipcar/309588455.html"
4,"https://www.automobile.fr//Voiture/Austin-Healey-Austin-Healey-100-BN1/vhc:car,ms1:1950__,dmg:false/pg:vipcar/309588442.html"
5,"https://www.automobile.fr//Voiture/Austin-Healey-Austin-Healey-3000-Mk3/vhc:car,ms1:1950__,dmg:false/pg:vipcar/309588440.html"
6,"https://www.automobile.fr//Voiture/Austin-Healey-3000-Mk-II-Bt7/vhc:car,ms1:1950__,dmg:false/pg:vipcar/309544289.html"
